tanel@mac18:optviz$ ./cbosummary.py orders.trc 
|###                           | 6.003323             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E]: 3.002294
|####                          | 16.078715            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];CUSTOMERS[C];ORDER_ITEMS[OI]: 3.022156
|####                          | 21.100354            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];CUSTOMERS[C];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|###                           | 6.003357             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E]: 3.002328
|###                           | 8.020608             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O]: 2.017251
|###                           | 11.042764            | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];ORDER_ITEMS[OI]: 3.022156
|####                          | 16.064403            | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 21.08535             | SEL$4B12EFE6 | DEPARTMENTS[D];EMPLOYEES[E];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];CUSTOMERS[C]: 5.020947
|####                          | 16.064397            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C]: 13.063368
|####                          | 21.086036            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 13.040973            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C]: 10.039944
|####                          | 16.063129            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C];ORDER_ITEMS[OI]: 3.022156
|####                          | 21.084769            | SEL$4B12EFE6 | DEPARTMENTS[D];CUSTOMERS[C];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.02164
|###                           | 6.018943             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D]: 3.017073
|###                           | 8.036194             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O]: 2.017251
|###                           | 11.05835             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI]: 3.022156
|####                          | 16.079989            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 21.100936            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];CUSTOMERS[C]: 5.020947
|###                           | 8.027045             | SEL$4B12EFE6 | PRODUCT_INFORMATION[I];ORDER_ITEMS[OI]: 3.022168
|###                           | 10.044641            | SEL$4B12EFE6 | PRODUCT_INFORMATION[I];ORDER_ITEMS[OI];ORDERS[O]: 2.017596
|####                          | 13.062727            | SEL$4B12EFE6 | PRODUCT_INFORMATION[I];ORDER_ITEMS[OI];ORDERS[O];EMPLOYEES[E]: 3.018086
|####                          | 16.079664            | SEL$4B12EFE6 | PRODUCT_INFORMATION[I];ORDER_ITEMS[OI];ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D]: 3.016937
|####                          | 21.10061             | SEL$4B12EFE6 | PRODUCT_INFORMATION[I];ORDER_ITEMS[OI];ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];CUSTOMERS[C]: 5.020946
|##                            | 5.019077             | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E]: 3.017774
|###                           | 8.035913             | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D]: 3.016836
|###                           | 11.05807             | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];ORDER_ITEMS[OI]: 3.022157
|####                          | 16.079709            | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 21.100655            | SEL$4B12EFE6 | ORDERS[O];EMPLOYEES[E];DEPARTMENTS[D];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];CUSTOMERS[C]: 5.020946
|###                           | 6.018943             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D]: 3.017073
|###                           | 8.036194             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O]: 2.017251
|###                           | 11.05835             | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI]: 3.022156
|####                          | 16.079989            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I]: 5.021639
|####                          | 21.100936            | SEL$4B12EFE6 | EMPLOYEES[E];DEPARTMENTS[D];ORDERS[O];ORDER_ITEMS[OI];PRODUCT_INFORMATION[I];CUSTOMERS[C]: 5.020947

